title,author,length,adventurous,challenging,dark,emotional,funny,hopeful,informative,inspiring,lighthearted,mysterious,reflective,relaxing,sad,tense,paceslow,pacemedium,pacefast
The Night Circus,Erin Morgenstern,502,64,12,24,40,2,17,0,18,7,89,19,7,10,13,6,44,49
Babel,R.F. Kuang,546,44,56,72,64,3,13,41,23,0,25,50,0,43,51,6,59,34
The Starless Sea,Erin Morgenstern,498,87,20,11,42,8,26,0,24,5,85,33,7,8,11,5,52,41
A Sorceress Comes to Call,T. Kingfisher,336,56,10,81,32,31,14,0,4,5,52,4,1,10,49,22,68,9
The Hobbit,J.R.R Tolkien,316,99,8,5,14,42,28,0,24,49,17,5,15,3,12,23,60,16
One Dark Window,Rachel Gillig,421,74,13,84,32,5,5,0,2,0,80,3,0,8,51,25,67,6
Two Twisted Crowns,Rachel Gillig,434,86,20,80,60,10,20,0,7,1,66,9,0,15,54,25,69,5
The Spellshop,Sarah Beth Durst,384,42,1,0,25,44,64,0,23,87,7,7,43,1,2,16,68,14
Lud-in-the-Mist,Hope Mirrlees,272,72,15,13,10,34,14,0,7,34,79,30,7,3,3,6,53,39
Uprooted,Naomi Novik,435,92,10,49,33,8,20,0,9,4,58,9,2,7,31,16,63,19
The Ten Thousands Doors of January,Alix E. Harrow,374,95,10,15,56,4,40,1,27,4,62,18,1,13,20,10,68,21
Emily Wilde's Encyclopedia of Faeries,Heather Fawcett,317,88,3,9,12,53,12,0,6,62,39,5,19,0,5,13,67,18
Emily Wilde's Map of the Otherlands,Heather Fawcett,339,96,3,10,19,53,14,5,6,55,41,4,13,0,11,17,74,7
Circe,Madeline Miller,393,72,15,26,61,2,19,9,25,2,23,52,5,23,15,9,60,30
The Song of Achilles,Madeline Miller,378,70,12,16,89,2,12,5,13,3,4,21,2,70,26,17,67,15
The Spear Cuts Through Water,Simon Jimenez,532,90,40,52,67,7,23,0,18,0,37,38,0,21,34,7,63,28
The Spirit Bares Its Teeth,Andrew Joseph White,375,17,39,97,72,0,12,0,6,0,52,12,0,42,76,29,66,3
The Empress of Salt and Fortune,Nghi Vo,121,39,10,14,48,2,12,2,13,4,53,62,8,17,5,39,44,15
Half a Soul,Olivia Atwater,305,52,2,5,35,50,39,0,15,70,25,12,16,3,3,43,51,4
Thornhedge,T. Kingfisher,116,60,4,52,38,16,28,0,6,19,40,19,6,19,10,57,34,7
Spinning Silver,Naomi Novik,480,88,11,38,38,3,23,0,14,2,53,11,2,6,27,9,62,27
Mort," Terry Pratchett",320,80,1,9,10,92,12,0,6,64,13,16,9,1,3,43,52,3
The Fifth Elephant,Terry Pratchett,370,89,4,11,13,91,16,1,10,43,38,15,5,1,15,37,60,2
Words of Radiance,Brandon Sanderson,1328,97,27,27,54,23,26,1,36,3,46,14,1,9,54,10,68,20
The Final Empire,Brandon Sanderson,647,96,18,45,43,15,1,23,2,52,8,14,0,31,48,18,69,12
Elantris,Brandon Sanderson,638,84,14,28,32,15,37,1,21,4,61,12,1,8,35,8,63,28
The First Horn,Richard Schwartz,400,95,4,26,17,17,4,0,4,0,69,4,0,4,21,17,52,30
The Black Prism,Brent Weeks,629,96,16,47,22,32,5,0,5,7,44,4,1,6,42,22,65,11
The Carrion Throne,Chris Wraight,382,75,6,90,0,6,0,3,0,0,81,3,0,0,69,40,51,8
Red Sister,Mark Lawrence,469,87,18,75,31,6,5,0,5,0,44,6,0,13,53,14,62,23
The Book That Wouldn't Burn,Mark Lawrence,566,89,30,30,41,8,14,4,9,1,77,24,0,12,34,6,55,37
Prince of Thorns,Mark Lawrence,373,72,17,97,8,10,0,0,0,0,23,4,0,10,42,49,53,6
The Name of the Wind,Patrick Rothfuss,661,97,15,34,33,24,9,0,14,6,59,17,3,12,24,9,55,34
Stormdancer,Jay Kristoff,451,97,21,47,42,9,12,0,9,1,16,4,0,18,42,22,59,18
The Poppy War,R.F. Kuang,544,73,43,91,52,3,2,5,4,0,17,13,0,41,69,22,65,12
The Pillars of the Earth,Ken Follett,1092,72,29,42,55,3,24,35,25,1,13,23,4,26,48,9,48,42
Furies of Calderon,Jim Butcher,688,98,12,29,23,11,15,1,13,6,23,1,1,3,42,28,62,9
Magician,Raymond E. Feist,681,98,18,21,26,14,18,1,12,10,37,7,4,8,30,11,55,33
The Eye of the World,Robert Jordan,814,98,18,37,16,7,11,1,8,3,45,3,2,3,36,3,40,55
Leviathan,Scott Westerfeld,440,98,4,6,15,25,9,7,11,20,16,1,1,5,25,47,48,3
The Neverending Story,Michael Ende,396,97,11,11,41,13,41,0,41,27,33,33,7,11,9,16,56,27
Hounded,Kevin Hearne,304,93,4,10,3,75,3,4,2,46,23,1,4,0,11,62,34,3
Where the Dark Stands Still,A.B Poranek,368,78,10,56,66,13,24,1,11,8,71,9,3,30,25,11,75,13
The Knight and the Moth,Rachel Gillig,389,89,19,62,60,35,14,0,9,3,65,13,0,24,38,5,71,22
Katabasis,R.F. Kuang,541,83,41,66,45,15,15,18,9,1,38,45,0,15,37,25,65,8
Blood Over Bright Haven,M.L. Wang,428,40,46,83,66,2,26,3,18,0,23,37,0,41,56,4,69,26
The Enchanted Greenhouse,Sarah Beth Durst,374,32,2,0,42,39,75,1,30,83,14,14,36,2,1,17,71,11
Toad Words and Other Stories,T. Kingfisher,117,74,5,51,26,62,14,0,9,40,25,18,8,3,5,1,38,60
When the Moon Hatched,Sarah A. Parker,576,88,26,55,66,13,11,1,6,1,55,7,0,28,43,24,62,13
The Familiar,Leigh Bardugo,385,48,15,77,40,3,13,4,4,0,65,11,0,17,46,22,66,11
Lucy Undying,Kiersten White,451,54,10,76,56,32,22,0,9,4,62,23,0,16,37,27,62,9
The Fellowship of the Ring,J.R.R. Tolkien,398,99,22,24,31,18,31,1,29,11,27,11,9,7,27,2,33,63
The Dragon's Path,Daniel Abraham,555,84,11,44,10,5,2,1,0,2,31,8,1,1,27,3,57,39
Guards! Guards!,Terry Pratchett,355,85,1,2,4,96,13,0,8,70,14,8,9,0,4,36,59,4
A Game of Thrones,George R.R. Martin,835,91,30,75,39,8,3,1,4,0,35,6,1,21,66,9,59,31
Erdsee,Ursula K. Le Guin,652,95,14,20,29,4,35,0,38,9,50,50,7,12,11,16,58,25
The Chronicles of Narnia,C.S. Lewis,768,96,9,7,39,27,45,1,39,48,22,23,17,11,9,31,54,13
The Priory of the Orange Tree,Samantha Shannon,830,98,26,20,47,4,20,1,19,1,35,8,1,8,38,7,59,33
